,speakerid,filename,birthplace,native_language,age,sex,age_onset
166,167,fanti1,"ajumako, ghana",fanti,3,male,5
167,168,farsi1,"tehran, iran",farsi,3,male,5
168,169,farsi2,"esfahan, iran",farsi,3,female,5
169,170,farsi3,"esfahan, iran",farsi,3,female,5
170,171,farsi4,"mazandran, iran",farsi,3,female,5
171,172,farsi5,"tehran, iran",farsi,3,male,5
172,173,farsi6,"tehran, iran",farsi,3,male,5
173,174,farsi7,"tehran, iran",farsi,3,male,5
174,175,farsi8,"tehran, iran",farsi,3,female,5
175,176,farsi9,"tehran, iran",farsi,3,male,5
176,177,finnish1,"lahti, finland",finnish,3,female,5
177,178,finnish2,"helsinki, finland",finnish,3,male,5
178,179,french1,"st. laurent d'onay, france",french,3,female,5
179,180,french2,"tunis, tunisia",french,3,male,5
180,181,french3,"nice, france",french,3,female,5
181,182,french4,"abidjan, ivory coast",french,3,female,5
182,183,french5,"douala, cameroon",french,3,female,5
183,184,french6,"booue, gabon",french,3,female,5
184,185,french7,"rimouski, quebec, canada",french,3,male,5
185,186,french8,"ghent, belgium",french,3,male,5
186,187,frisian1,"akkrum, friesland, netherlands",frisian,3,male,5
187,188,georgian1,"tbilisi, republic of georgia",georgian,3,female,5
188,189,german1,"dusseldorf, germany",german,3,female,5
189,190,german2,"bemberg, germany",german,3,female,5
190,191,german3,"meissen, germany",german,3,female,5
191,192,german4,"stuttgart, germany",german,3,female,5
192,193,german5,"halle, germany",german,3,male,5
193,194,german6,"vienna, austria",german,3,male,5
194,195,greek1,"athens, greece",greek,3,male,5
195,196,greek2,"athens, greece",greek,3,female,5
196,197,greek3,"karprenici, greece",greek,3,female,5
197,198,gujarati1,"ahmedabad, india",gujarati,3,male,5
198,199,gujarati2,"bombay, india",gujarati,3,male,5
199,200,gujarati3,"limerick, ireland",gujarati,3,female,5
200,201,gusii1,"nairobi, kenya",gusii,3,male,5
201,202,hebrew1,"yehud, israel",hebrew,3,male,5
202,203,hebrew2,"jerusalem, israel",hebrew,3,male,5
203,204,hebrew3,"haifa, israel",hebrew,3,male,5
204,205,hebrew4,"haifa, israel",hebrew,3,female,5
205,206,hebrew5,"netanya, israel",hebrew,3,male,5
206,207,hindi1,"nagpur, maharashtra, india",hindi,3,male,5
207,208,xiang1,"taipei, taiwan",xiang,3,female,5
208,209,hungarian1,"cegled, hungary",hungarian,3,female,5
209,210,hungarian2,"clug, romania",hungarian,3,female,5
210,211,hungarian3,"brasov, romania",hungarian,3,male,5
211,212,igbo1,"imo state, imo state, nigeria",igbo,3,female,5
212,213,indonesian1,"jakarta, indonesia",indonesian,3,male,5
213,214,indonesian2,"jakarta, indonesia",indonesian,3,male,5
214,215,indonesian3,"jakarta, indonesia",indonesian,3,female,5
215,216,indonesian4,"jakarta, indonesia",indonesian,3,female,5
216,217,italian1,"carbonia, italy",italian,3,female,5
217,218,italian2,"caltanissetta, sicily, italy",italian,3,male,5
218,219,italian3,"florence, italy",italian,3,male,5
219,220,italian4,"cremona, italy",italian,3,female,5
220,221,japanese1,"tokyo, japan",japanese,3,female,5
221,222,japanese2,"tokyo, japan",japanese,3,female,5
222,223,japanese3,"kofu, yamanashi prefecture, japan",japanese,3,female,5
223,224,japanese4,"tokyo, japan",japanese,3,male,5
224,225,japanese5,"chiba, japan",japanese,3,female,5
225,226,japanese6,"kawasaki, japan",japanese,3,female,5
226,227,japanese7,"osaka, japan",japanese,3,male,5
227,228,kannada1,"bangalore, india",kannada,3,female,5
228,229,kazakh1,"semey, kazakhstan",kazakh,3,male,5
229,230,khmer1,"phnom penh, cambodia",khmer,3,female,5
230,231,khmer2,"phnom penh, cambodia",khmer,3,male,5
231,232,khmer3,"baling, kampongthum, cambodia",khmer,3,male,5
232,233,kyrgyz1,"bishkek, kyrgyzstan",kyrgyz,3,female,5
233,234,kiswahili1,"dar-es-salaam, tanzania",kiswahili,3,male,5
234,235,kiswahili2,"kigoma, tanzania",kiswahili,3,male,5
235,236,kiswahili3,"nairobi, kenya",kiswahili,3,male,5
236,237,kiswahili4,"goma, north kivu, democratic republic of congo",kiswahili,3,male,5
237,238,korean1,"ui jong bu, south korea",korean,3,male,5
238,239,korean2,"taegu, south korea",korean,3,female,5
239,240,korean3,"seoul, south korea",korean,3,female,5
240,241,korean4,"seoul, south korea",korean,3,female,5
241,242,korean5,"seoul, south korea",korean,3,female,5
242,243,korean6,"sunchun, south korea",korean,3,female,5
243,244,korean7,"seoul, south korea",korean,3,male,5
244,245,krio1,"freetown, sierra leone",krio,3,female,5
245,246,kurdish1,"arbil, iraq",kurdish,3,male,5
246,247,lamaholot1,"leworook, nusa tenggara, indonesia",lamaholot,3,male,5
247,248,lao1,"savannakhet, laos",lao,3,female,5
248,249,lao2,"vientiane, laos",lao,3,female,5
249,250,latvian1,"riga, latvia",latvian,3,female,5
250,251,lithuanian1,"klaipeda, lithuania",lithuanian,3,female,5
251,252,luo1,"siaya, kenya",luo,3,male,5
252,253,macedonian1,"ohrid, macedonia",macedonian,3,male,5
253,254,malay1,"kuala lumpur, malaysia",malay,3,female,5
254,255,malayalam1,"kerala state, kerala state, india",malayalam,3,male,5
255,256,mandarin1,"shanxi province, shanxi, china",mandarin,3,female,5
256,257,mandarin2,"nanjing, china",mandarin,3,female,5
257,258,mandarin3,"jilin city, jilin, china",mandarin,3,male,5
258,259,mandarin4,"shanghai, china",mandarin,3,female,5
259,260,mandarin5,"beijing, china",mandarin,3,female,5
260,261,mandarin6,"le shan, sichuan, china",mandarin,3,female,5
261,262,mandarin7,"berkeley, california, usa",mandarin,3,male,5
262,263,mandingo1,"freetown, sierra leone",mandingo,3,male,5
263,264,marathi1,"bombay, india",marathi,3,female,5
264,265,marathi2,"madras, india",marathi,3,male,5
265,266,mauritian1,"port louis, mauritius",mauritian,3,male,5
266,267,mongolian1,"ulaanbaatar, mongolia",mongolian,3,female,5
267,268,mongolian2,"ulaanbaatar, mongolia",mongolian,3,male,5
268,269,moore1,"tenkodogo, burkina faso",moore,3,female,5
269,270,mortlockese1,"weno, chuuk, federated states of micronesia",mortlockese,3,male,5
270,271,nepali1,"kathmandu, nepal",nepali,3,female,5
271,272,norwegian1,"drammen, norway",norwegian,3,female,5
272,273,norwegian2,"oslo, norway",norwegian,3,female,5
273,274,norwegian3,"volda, norway",norwegian,3,male,5
274,275,oromo1,"wellga, ethiopia",oromo,3,female,5
275,276,pohnpeian1,"kolonia, pohnpei, federated states of micronesia",pohnpeian,3,male,5
276,277,polish1,"janow, poland",polish,3,female,5
277,278,polish2,"mielec, poland",polish,3,female,5
278,279,polish3,"nowy sacz, poland",polish,3,female,5
279,280,polish4,"krakow, poland",polish,3,female,5
280,281,portuguese1,"bahia, brazil",portuguese,3,female,5
281,282,portuguese10,"novo hamburgo, rio grande do sul, brazil",portuguese,3,male,5
282,283,portuguese2,"brasilia, brazil",portuguese,3,female,5
283,284,portuguese3,"blumenau, brazil",portuguese,3,female,5
284,285,portuguese4,"cabinda, angola",portuguese,3,male,5
285,286,portuguese5,"lubango, angola",portuguese,3,male,5
286,287,portuguese6,"sao paulo, brazil",portuguese,3,male,5
287,288,portuguese7,"vitoria, brazil",portuguese,3,male,5
288,289,portuguese8,"fortaleza, brazil",portuguese,3,male,5
289,290,portuguese9,"sao paulo, brazil",portuguese,3,male,5
290,291,punjabi1,"sargodha, pakistan",punjabi,3,male,5
291,292,punjabi2,"hoshiarpur, india",punjabi,3,male,5
292,293,quechua1,"cochabamba, bolivia",quechua,3,female,5
293,294,quechua2,"huanuco, provincia dos de mayo, peru",quechua,3,female,5
294,295,romanian1,"timisoara, romania",romanian,3,male,5
295,296,romanian2,"bucharest, romania",romanian,3,male,5
296,297,romanian3,"birtem, romania",romanian,3,male,5
297,298,romanian4,"bucharest, romania",romanian,3,female,5
298,299,russian1,"nizhni novgorod, russia",russian,3,male,5
299,300,russian10,"moscow, russia",russian,3,female,5
300,301,russian11,"ola magadan, russia",russian,3,male,5
301,302,russian2,"izmail, ukraine",russian,3,female,5
302,303,russian3,"zaporizhzhya, ukraine",russian,3,female,5
303,304,russian4,"moscow, russia",russian,3,female,5
304,305,russian5,"khabarovsk, russia",russian,3,female,5
305,306,russian6,"moscow, russia",russian,3,female,5
306,307,russian7,"kiev, ukraine",russian,3,female,5
307,308,russian8,"moscow, russia",russian,3,male,5
308,309,russian9,"moscow, russia",russian,3,male,5
309,310,sardinian1,"zofingen, switzerland",sardinian,3,female,5
310,311,sarua1,"ndjamena, chad",sarua,3,male,5
311,312,satawalese1,"satawal island, yap state, federated states of micronesia",satawalese,3,male,5
312,313,satawalese2,"satawal island, yap state, federated states of micronesia",satawalese,3,female,5
313,314,serbian1,"bosanska krupa, bosnia",serbian,3,female,5
314,315,serbian2,"zrenjanin, serbia, serbia",serbian,3,male,5
315,316,sicilian1,"fiumedinisi, sicily",sicilian,3,male,5
316,317,sinhala1,"colombo, sri lanka",sinhala,3,female,5
317,318,sinhala2,"colombo, sri lanka",sinhala,3,female,5
318,319,slovak1,"kosice, slovak republic",slovak,3,female,5
319,320,slovak2,"piestany, slovak republic",slovak,3,female,5
320,321,slovak3,"nitra, slovak republic",slovak,3,female,5
321,322,somali1,"mogadishu, somalia",somali,3,female,5
322,323,spanish1,"caracas, venezuela",spanish,3,male,5
323,324,spanish10,"san luis de la reina, el salvador",spanish,3,male,5
324,325,spanish11,"lima, peru",spanish,3,female,5
325,326,spanish12,"oviedo, spain",spanish,3,male,5
326,327,spanish13,"duitama, colombia",spanish,3,female,5
327,328,spanish14,"pereira, colombia",spanish,3,female,5
328,329,spanish15,"san juan, puerto rico",spanish,3,male,5
329,330,spanish16,"buenos aires, argentina",spanish,3,male,5
330,331,spanish17,"puebla, mexico",spanish,3,female,5
331,332,spanish18,"la paz, bolivia",spanish,3,male,5
332,333,spanish19,"havana, cuba",spanish,3,female,5
333,334,spanish2,"puerto la cruz, venezuela",spanish,3,male,5
334,335,spanish20,"managua, nicaragua",spanish,3,male,5
335,336,spanish21,"santiago, chile",spanish,3,male,5
336,337,spanish22,"madrid, spain",spanish,3,female,5
337,338,spanish23,"santiago, chile",spanish,3,male,5
338,339,spanish24,"mexico city, mexico",spanish,3,male,5
339,340,spanish25,"san jose, costa rica",spanish,3,male,5
340,341,spanish26,"burgos, spain",spanish,3,male,5
341,342,spanish27,"zaragoza, spain",spanish,3,male,5
342,343,spanish28,"san miguel, el salvador",spanish,3,female,5
343,344,spanish3,"bogota, colombia",spanish,3,female,5
344,345,spanish4,"cabanas, el salvador",spanish,3,female,5
345,346,spanish5,"bogota, colombia",spanish,3,female,5
346,347,spanish6,"lima, peru",spanish,3,male,5
347,348,spanish7,"bogota, colombia",spanish,3,female,5
348,349,spanish8,"san salvador, el salvador",spanish,3,male,5
349,350,spanish9,"araure, venezuela",spanish,3,male,5
350,351,swedish1,"solna, sweden",swedish,3,female,5
351,352,swedish2,"uppsala, sweden",swedish,3,male,5
352,353,swedish3,"stockholm, sweden",swedish,3,male,5
353,354,swedish4,"lulea, sweden",swedish,3,male,5
354,355,synthesized1,,synthesized,3,male,5
355,356,synthesized2,,synthesized,3,female,5
356,357,synthesized3,,synthesized,3,female,5
357,358,synthesized4,,synthesized,3,male,5
358,359,tagalog1,"manila, philippines",tagalog,3,male,5
359,360,tagalog2,"urdaneta, luzon, philippines",tagalog,3,female,5
360,361,tagalog3,"honiara, guadalcanal, solomon islands",tagalog,3,female,5
361,362,taishan1,"taishan, guangdong, china",taishan,3,male,5
362,363,taiwanese1,"ping tung, taiwan",taiwanese,3,female,5
363,364,taiwanese2,"taipei, taiwan",taiwanese,3,female,5
364,365,taiwanese3,"tainan, taiwan",taiwanese,3,female,5
365,366,taiwanese4,"kao-hsiung, taiwan",taiwanese,3,female,5
366,367,tamil1,"colombo, sri lanka",tamil,3,male,5
367,368,tatar1,"kargali, tatarstan, russia",tatar,3,female,5
368,369,telugu1,"kadapa, india",telugu,3,male,5
369,370,telugu2,"guntur, andhra pradesh, india",telugu,3,male,5
370,371,thai1,"khon kaen, thailand",thai,3,female,5
371,372,thai2,"chiang mai, thailand",thai,3,male,5
372,373,thai3,"bangkok, thailand",thai,3,male,5
373,374,tibetan1,"lhasa, tibet",tibetan,3,female,5
374,375,tibetan2,"khamba, tibet",tibetan,3,female,5
375,376,tibetan3,"mysore, india",tibetan,3,female,5
376,377,tigrigna1,"adigrat, ethiopia",tigrigna,3,female,5
377,378,tigrigna2,"asmara, eritrea",tigrigna,3,female,5
378,379,tigrigna3,"asmara, eritrea",tigrigna,3,male,5
379,380,tok,"madang, madang province, papua new guinea",tok,3,male,5
380,381,turkish1,"bingol, turkey",turkish,3,female,5
381,382,turkish2,"ankara, turkey",turkish,3,male,5
382,383,turkish3,"adana, turkey",turkish,3,male,5
383,384,turkish4,"kayseri, turkey",turkish,3,male,5
384,385,turkish5,"istanbul, turkey",turkish,3,female,5
385,386,turkish6,"istanbul, turkey",turkish,3,male,5
386,387,turkish7,"izmir, turkey",turkish,3,male,5
387,388,twi1,"kumasi, ghana",twi,3,female,5
388,389,twi2,"ajumako, ghana",twi,3,male,5
389,390,urdu1,"karachi, pakistan",urdu,3,male,5
390,391,urdu2,"sialkot, pakistan",urdu,3,female,5
391,392,uyghur1,"urumqi, xin jiang, china",uyghur,3,female,5
392,393,uzbek1,"samarkand, uzbekistan",uzbek,3,female,5
393,394,uzbek2,"kabul, afghanistan",uzbek,3,female,5
394,395,vietnamese1,"can tho, vietnam",vietnamese,3,male,5
395,396,vietnamese2,"ho chi minh city, vietnam",vietnamese,3,male,5
396,397,vietnamese3,"vinh long, vietnam",vietnamese,3,female,5
397,398,vietnamese4,"hanoi, vietnam",vietnamese,3,female,5
398,399,vietnamese5,"cam ranh, vietnam",vietnamese,3,male,5
399,400,vietnamese6,"ho chi minh city, vietnam",vietnamese,3,male,5
400,401,vietnamese7,"hue, vietnam",vietnamese,3,female,5
401,402,wolof1,"dakar, senegal",wolof,3,male,5
402,403,wolof2,"dakar, senegal",wolof,3,male,5
403,404,yiddish1,"st. etienne, france",yiddish,3,male,5
404,405,yiddish2,"winnipeg, manitoba, canada",yiddish,3,female,5
405,406,zulu1,"bulawayo, zimbabwe",zulu,3,female,5
406,407,english105,"windsor, ontario, canada",english,3,male,5
407,408,english106,"los angeles, california, usa",english,3,female,5
408,409,maltese1,"mosta, malta",maltese,3,female,5
409,410,spanish29,"maracaibo, zulia, venezuela",spanish,3,male,5
410,411,hebrew6,"rishon, israel",hebrew,3,female,5
411,412,french9,"lamentin, martinique",french,3,male,5
412,413,bambara3,"bamako, mali",bambara,3,male,5
413,414,yoruba1,"cotonou, benin",yoruba,3,male,5
414,415,dinka1,"rumbek, boherat, sudan",dinka,3,male,5
415,416,english107,"chicago, illinois, usa",english,3,male,5
416,417,belarusan1,"chamiancy, vilejka, belarus",belarusan,3,male,5
417,418,afrikaans3,"pretoria, transvaal, south africa",afrikaans,3,male,5
418,419,english108,"strabane, northern ireland, uk",english,3,male,5
419,420,english109,"concord, new hampshire, usa",english,3,female,5
420,421,english110,"great yarmouth, norfolk, uk",english,3,male,5
421,422,icelandic1,"reykjavik, iceland",icelandic,3,male,5
422,423,urdu3,"karachi, sind, pakistan",urdu,3,male,5
423,424,sindhi1,"karachi, pakistan",sindhi,3,male,5
424,425,pahari1,"jammu, kashmir, india",pahari,3,male,5
425,426,english111,"bombay, india",english,3,male,5
426,427,english112,"st. thomas, us virgin islands",english,3,male,5
427,428,arabic14,"amman, jordan",arabic,3,male,5
428,429,tamil2,"madras, tamil nadu, india",tamil,3,female,5
429,430,mandarin8,"jingmen, hubei, china",mandarin,3,male,5
430,431,krio2,"freetown, sierra leone",krio,3,male,5
431,432,lamotrekese1,"lamotrek island, federated states of micronesia",lamotrekese,3,male,5
432,433,yapese1,"yap island, federated states of micronesia",yapese,3,female,5
433,434,azerbaijani2,"baku, azerbaijan",azerbaijani,3,female,5
434,435,armenian2,"tehran, iran",armenian,3,female,5
435,436,mende1,"harbel, liberia",mende,3,male,5
436,437,arabic15,"qayrawan, tunisia",arabic,3,male,5
437,438,konkani1,"hyderabad, andhra pradesh, india",konkani,3,female,5
438,439,english113,"wrexham, wales, uk",english,3,male,5
439,440,italian5,"vicenza, veneto, italy",italian,3,male,5
440,441,spanish30,"buenos aires, argentina",spanish,3,male,5
441,442,english114,"birmingham 2, alabama, usa",english,3,female,5
442,443,english115,"st. albans, hertfordshire, uk",english,3,male,5
443,444,english116,"atlanta, georgia, usa",english,3,male,5
444,445,english117,"elmore, alabama, usa",english,3,female,5
445,446,english118,"akron, ohio, usa",english,3,male,5
446,447,vietnamese8,"ninh binh, vietnam",vietnamese,3,male,5
447,448,thai4,"songkhla, thailand",thai,3,female,5
448,449,spanish31,"guayaquil, ecuador",spanish,3,female,5
449,450,spanish32,"santa cruz, bolivia",spanish,3,male,5
450,451,mandarin9,"shanghai, china",mandarin,3,male,5
451,452,korean8,"seoul, south korea",korean,3,female,5
452,453,farsi10,"tehran, iran",farsi,3,female,5
453,454,swedish5,"goteborg, sweden",swedish,3,male,5
454,455,english119,"saskatoon, saskatchewan, canada",english,3,female,5
455,456,english120,"saskatoon, saskatchewan, canada",english,3,male,5
456,457,sundanese1,"kuningan, indonesia",sundanese,3,female,5
457,458,albanian3,"tirana, albania",albanian,3,male,5
458,459,lithuanian2,"vilnius, lithuania",lithuanian,3,female,5
459,460,russian12,"st. petersburg, russia",russian,3,male,5
460,461,sinhala3,"colombo, sri lanka",sinhala,3,female,5
461,462,cantonese6,"hong kong, china",cantonese,3,male,5
462,463,georgian2,"akhmeta, republic of georgia",georgian,3,female,5
463,464,kikongo1,"new orleans, louisiana, usa",kikongo,3,male,5
464,465,english121,"waconia, minnesota, usa",english,3,male,5
465,466,kikuyu1,"nairobi, kenya",kikuyu,3,male,5
466,467,spanish33,"caracas, venezuela",spanish,3,male,5
467,468,english122,"kuala lumpur, malaysia",english,3,female,5
468,469,english123,"riverside, california, usa",english,3,female,5
469,470,tagalog4,"san fernando, la union, philippines",tagalog,3,female,5
470,471,arabic16,"meknes, morocco",arabic,3,male,5
471,472,russian13,"moscow, russia",russian,3,male,5
472,473,italian6,"naples, italy",italian,3,female,5
473,474,korean9,"taejon, south korea",korean,3,male,5
474,475,oriya1,"bargarh, orissa, india",oriya,3,male,5
